Iter. Eval.  Best      Time m:s
0     12     -1.09e+10   0:00.7
1     24     -1.09e+10   0:01.0
2     36     -1.09e+10   0:01.4
3     48     -1.09e+10   0:01.8
20    252    -9.52e+09   0:08.3
40    492    -9.03e+09   0:14.1
60    732    -8.84e+09   0:19.6
80    972    -8.71e+09   0:25.4
100   1212   -8.43e+09   0:30.6
120   1452   -8.42e+09   0:35.9
140   1692   -8.34e+09   0:40.9
160   1932   -8.13e+09   0:45.5
180   2172   -8.01e+09   0:50.1
200   2412   -7.98e+09   0:54.7
220   2652   -7.94e+09   1:00.3
240   2892   -7.86e+09   1:05.3
260   3132   -7.65e+09   1:11.0
280   3372   -6.33e+09   1:16.3
300   3612   -3.8e+09    1:21.5
320   3852   -3.35e+09   1:26.7
340   4092   -3.17e+09   1:31.5
360   4332   -3.15e+09   1:36.5
380   4572   -3.13e+09   1:41.3
400   4812   -3.06e+09   1:46.4
420   5052   -2.94e+09   1:51.3
440   5292   -2.84e+09   1:56.0
460   5532   -2.75e+09   2:00.7
480   5772   -2.63e+09   2:06.0
500   6012   -2.59e+09   2:11.9
520   6252   -2.57e+09   2:17.8
540   6492   -2.54e+09   2:22.5
560   6732   -2.51e+09   2:26.9
580   6972   -2.48e+09   2:31.4
600   7212   -2.46e+09   2:36.0
620   7452   -2.44e+09   2:40.5
640   7692   -2.43e+09   2:44.9
660   7932   -2.43e+09   2:49.3
680   8172   -2.42e+09   2:54.3
700   8412   -2.4e+09    2:59.7
720   8652   -2.34e+09   3:05.3
740   8892   -2.14e+09   3:09.6
760   9132   -1.79e+09   3:14.0
780   9372   -1.7e+09    3:18.4
800   9612   -1.52e+09   3:22.9
820   9852   -1.32e+09   3:27.3
840   10092  -1.26e+09   3:31.9
860   10332  -1.24e+09   3:36.3
880   10572  -1.2e+09    3:40.8
900   10812  -1.17e+09   3:45.4
920   11052  -1.12e+09   3:49.9
940   11292  -9.89e+08   3:54.4
960   11532  -7.39e+08   3:58.9
980   11772  -6.61e+08   4:03.7
1000  12012  -5.99e+08   4:10.0
1020  12252  -5.03e+08   4:15.4
1040  12492  -4.45e+08   4:20.8
1060  12732  -3.79e+08   4:26.1
1080  12972  -3.19e+08   4:30.8
1100  13212  -2.83e+08   4:35.6
1120  13452  -2.58e+08   4:40.4
1140  13692  -2.54e+08   4:45.3
1160  13932  -2.52e+08   4:49.8
1180  14172  -2.5e+08    4:54.4
1200  14412  -2.49e+08   4:59.3
1220  14652  -2.45e+08   5:05.3
1240  14892  -2.4e+08    5:11.7
1260  15132  -2.36e+08   5:17.4
1280  15372  -2.32e+08   5:22.3
1300  15612  -2.26e+08   5:26.8
1320  15852  -2.21e+08   5:31.5
1340  16092  -2.08e+08   5:36.5
1360  16332  -1.95e+08   5:41.8
1380  16572  -1.83e+08   5:46.5
1400  16812  -1.68e+08   5:51.5
1420  17052  -1.43e+08   5:56.1
1440  17292  -1.25e+08   6:00.7
1460  17532  -1.06e+08   6:05.8
1480  17772  -1.03e+08   6:10.8
1500  18012  -9.68e+07   6:17.0
1520  18252  -9.23e+07   6:22.7
1540  18492  -8.96e+07   6:28.7
1560  18732  -8.86e+07   6:34.3
1580  18972  -8.76e+07   6:39.3
1600  19212  -8.69e+07   6:44.8
1620  19452  -8.67e+07   6:49.7
1640  19692  -8.66e+07   6:54.5
1660  19932  -8.65e+07   6:59.5
1680  20172  -8.65e+07   7:04.8
1700  20412  -8.65e+07   7:10.6
1720  20652  -8.65e+07   7:16.5
1740  20892  -8.65e+07   7:22.2
1760  21132  -8.65e+07   7:27.5
1780  21372  -8.64e+07   7:32.4
1800  21612  -8.64e+07   7:37.7
1820  21852  -8.62e+07   7:42.6
1840  22092  -8.56e+07   7:47.4
1860  22332  -8.45e+07   7:52.3
1880  22572  -8.34e+07   7:56.9
1900  22812  -8.24e+07   8:01.6
1920  23052  -8.13e+07   8:06.1
1940  23292  -8.1e+07    8:11.4
1960  23532  -8.09e+07   8:16.3
1980  23772  -8.08e+07   8:21.8
2000  24012  -8.08e+07   8:27.4
2020  24252  -8.07e+07   8:33.7
2040  24492  -8.04e+07   8:39.1
2060  24732  -7.73e+07   8:43.8
2080  24972  -7.67e+07   8:48.5
2100  25212  -7.64e+07   8:53.1
2120  25452  -7.64e+07   8:57.9
2140  25692  -7.63e+07   9:02.5
2160  25932  -7.63e+07   9:07.3
2180  26172  -7.63e+07   9:12.2
2200  26412  -7.63e+07   9:17.7
2220  26652  -7.63e+07   9:24.1
2240  26892  -7.63e+07   9:29.6
2260  27132  -7.63e+07   9:35.1
2280  27372  -7.63e+07   9:39.9
2300  27612  -7.63e+07   9:44.4
2320  27852  -7.63e+07   9:49.9
2340  28092  -7.63e+07   9:55.7
2360  28332  -7.63e+07  10:00.5
2380  28572  -7.63e+07  10:06.2
2400  28812  -7.63e+07  10:10.9
2420  29052  -7.63e+07  10:15.5
2440  29292  -7.63e+07  10:21.0
2460  29532  -7.63e+07  10:26.8
2480  29772  -7.63e+07  10:32.4
2500  30012  -7.63e+07  10:38.3
2520  30252  -7.63e+07  10:44.2
2534  30408  -7.63e+07  10:47.9
