Iter. Eval.  Best      Time m:s
0     12     -1.76e+11   0:00.7
1     24     -1.69e+11   0:01.2
2     36     -1.31e+11   0:01.5
3     48     -1.07e+11   0:01.7
20    252    -1e+10      0:06.1
40    492    -7.04e+09   0:11.1
60    732    -5.66e+09   0:16.5
80    972    -3.16e+09   0:22.2
100   1212   -2.26e+09   0:27.4
120   1452   -2.07e+09   0:32.5
140   1692   -2.01e+09   0:38.1
160   1932   -1.93e+09   0:43.4
180   2172   -1.93e+09   0:48.1
200   2412   -1.93e+09   0:52.7
220   2652   -1.9e+09    0:57.6
240   2892   -1.88e+09   1:02.5
260   3132   -1.84e+09   1:07.2
280   3372   -1.83e+09   1:12.1
300   3612   -1.82e+09   1:17.2
320   3852   -1.82e+09   1:21.9
340   4092   -1.81e+09   1:26.7
360   4332   -1.8e+09    1:31.3
380   4572   -1.78e+09   1:36.2
400   4812   -1.69e+09   1:42.3
420   5052   -1.69e+09   1:47.8
440   5292   -1.68e+09   1:53.1
460   5532   -1.68e+09   1:58.0
480   5772   -1.66e+09   2:02.9
500   6012   -1.63e+09   2:08.8
520   6252   -1.52e+09   2:15.1
540   6492   -1.4e+09    2:19.9
560   6732   -1.35e+09   2:25.0
580   6972   -1.28e+09   2:29.6
600   7212   -1.21e+09   2:34.1
620   7452   -1.12e+09   2:39.0
640   7692   -9.77e+08   2:43.9
660   7932   -9.61e+08   2:48.7
680   8172   -9.48e+08   2:53.4
700   8412   -9.39e+08   2:58.2
720   8652   -9.23e+08   3:03.2
740   8892   -8.79e+08   3:07.8
760   9132   -7.85e+08   3:12.4
780   9372   -6.33e+08   3:17.1
800   9612   -3.58e+08   3:22.2
820   9852   -1.58e+08   3:27.4
840   10092  -1.2e+08    3:32.7
860   10332  -1.15e+08   3:38.3
880   10572  -1.09e+08   3:44.9
900   10812  -8.71e+07   3:51.3
920   11052  -7.56e+07   3:57.0
940   11292  -7.39e+07   4:02.6
960   11532  -7.31e+07   4:08.0
980   11772  -7.21e+07   4:13.5
1000  12012  -7e+07      4:20.3
1020  12252  -6.76e+07   4:26.1
1040  12492  -6.68e+07   4:32.4
1060  12732  -6.57e+07   4:38.2
1080  12972  -6.49e+07   4:44.0
1100  13212  -6.43e+07   4:49.9
1120  13452  -6.39e+07   4:55.4
1140  13692  -6.36e+07   5:01.2
1160  13932  -6.33e+07   5:05.9
1180  14172  -6.26e+07   5:11.6
1200  14412  -6.23e+07   5:16.8
1220  14652  -6.23e+07   5:21.8
1240  14892  -6.21e+07   5:27.4
1260  15132  -6.19e+07   5:33.1
1280  15372  -6.11e+07   5:38.6
1300  15612  -6.02e+07   5:44.6
1320  15852  -5.89e+07   5:50.5
1340  16092  -5.79e+07   5:57.0
1360  16332  -5.74e+07   6:03.1
1380  16572  -5.68e+07   6:08.7
1400  16812  -5.6e+07    6:14.6
1420  17052  -5.54e+07   6:20.4
1440  17292  -5.48e+07   6:26.0
1460  17532  -5.45e+07   6:31.2
1480  17772  -5.44e+07   6:36.7
1500  18012  -5.43e+07   6:43.0
1520  18252  -5.43e+07   6:49.1
1540  18492  -5.43e+07   6:55.0
1560  18732  -5.43e+07   7:00.1
1580  18972  -5.43e+07   7:05.3
1600  19212  -5.43e+07   7:11.1
1620  19452  -5.43e+07   7:15.9
1640  19692  -5.43e+07   7:20.8
1660  19932  -5.43e+07   7:26.3
1680  20172  -5.43e+07   7:31.7
1700  20412  -5.43e+07   7:37.1
1720  20652  -5.43e+07   7:42.3
1740  20892  -5.43e+07   7:47.2
1760  21132  -5.43e+07   7:52.3
1780  21372  -5.43e+07   7:57.8
1800  21612  -5.43e+07   8:04.1
1820  21852  -5.43e+07   8:08.8
1840  22092  -5.43e+07   8:13.6
1860  22332  -5.43e+07   8:18.6
1880  22572  -5.43e+07   8:23.7
1900  22812  -5.43e+07   8:28.3
1920  23052  -5.43e+07   8:33.0
1940  23292  -5.43e+07   8:37.5
1960  23532  -5.43e+07   8:42.5
1980  23772  -5.43e+07   8:47.5
1985  23820  -5.43e+07   8:48.8
