Iter. Eval.  Best      Time m:s
0     11     -7.75e+09   0:00.6
1     22     -7.75e+09   0:00.8
2     33     -7.75e+09   0:01.1
3     44     -7.75e+09   0:01.3
20    231    -7.73e+09   0:05.2
40    451    -7.13e+09   0:09.9
60    671    -6.96e+09   0:14.5
80    891    -6.43e+09   0:19.2
100   1111   -5.46e+09   0:23.9
120   1331   -5.33e+09   0:29.3
140   1551   -5.2e+09    0:34.6
160   1771   -5.16e+09   0:39.6
180   1991   -5.02e+09   0:44.1
200   2211   -4.89e+09   0:49.0
220   2431   -4.71e+09   0:53.9
240   2651   -4.45e+09   0:58.8
260   2871   -3.93e+09   1:03.4
280   3091   -3.75e+09   1:07.9
300   3311   -3.68e+09   1:12.8
320   3531   -3.54e+09   1:18.6
340   3751   -2.65e+09   1:23.7
360   3971   -2.51e+09   1:28.9
380   4191   -2.45e+09   1:34.0
400   4411   -2.41e+09   1:39.0
420   4631   -2.31e+09   1:44.2
440   4851   -1.96e+09   1:49.3
460   5071   -1.78e+09   1:54.1
480   5291   -1.77e+09   1:59.4
500   5511   -1.74e+09   2:05.1
520   5731   -1.73e+09   2:10.7
540   5951   -1.72e+09   2:15.5
560   6171   -1.72e+09   2:20.4
580   6391   -1.71e+09   2:25.3
600   6611   -1.71e+09   2:30.4
620   6831   -1.71e+09   2:35.3
640   7051   -1.7e+09    2:41.0
660   7271   -1.58e+09   2:46.4
680   7491   -1.47e+09   2:51.4
700   7711   -1.34e+09   2:56.4
720   7931   -1.23e+09   3:01.4
740   8151   -1.17e+09   3:06.7
760   8371   -1.17e+09   3:11.9
780   8591   -1.16e+09   3:17.5
800   8811   -1.15e+09   3:22.7
820   9031   -1.15e+09   3:27.8
840   9251   -1.15e+09   3:33.0
860   9471   -1.14e+09   3:38.4
880   9691   -1.14e+09   3:43.4
900   9911   -1.14e+09   3:48.3
920   10131  -1.14e+09   3:53.4
940   10351  -1.14e+09   3:58.8
960   10571  -1.14e+09   4:04.1
980   10791  -1.14e+09   4:09.5
1000  11011  -1.14e+09   4:15.2
1020  11231  -1.14e+09   4:21.0
1040  11451  -1.14e+09   4:25.8
1060  11671  -1.14e+09   4:30.6
1080  11891  -1.14e+09   4:35.6
1100  12111  -1.14e+09   4:40.1
1120  12331  -1.14e+09   4:45.0
1140  12551  -1.14e+09   4:50.4
1160  12771  -1.14e+09   4:56.0
1180  12991  -1.14e+09   5:01.5
1200  13211  -1.14e+09   5:06.7
1220  13431  -1.14e+09   5:11.6
1240  13651  -1.14e+09   5:16.7
1260  13871  -1.14e+09   5:21.9
1280  14091  -1.14e+09   5:27.6
1300  14311  -1.14e+09   5:32.7
1320  14531  -1.14e+09   5:38.2
1340  14751  -1.14e+09   5:43.7
1360  14971  -1.14e+09   5:49.3
1380  15191  -1.14e+09   5:55.0
1400  15411  -1.14e+09   6:00.4
1420  15631  -1.14e+09   6:05.6
1440  15851  -1.14e+09   6:11.4
1460  16071  -1.14e+09   6:16.8
1480  16291  -1.14e+09   6:22.4
1500  16511  -1.14e+09   6:28.8
1520  16731  -1.14e+09   6:34.7
1540  16951  -1.14e+09   6:40.5
1560  17171  -1.14e+09   6:45.9
1580  17391  -1.14e+09   6:51.1
1600  17611  -1.14e+09   6:56.2
1620  17831  -1.14e+09   7:01.5
1640  18051  -1.14e+09   7:06.6
1660  18271  -1.14e+09   7:11.9
1680  18491  -1.14e+09   7:16.8
1700  18711  -1.14e+09   7:22.1
1720  18931  -1.14e+09   7:26.9
1735  19085  -1.14e+09   7:30.3
