Iter. Eval.  Best      Time m:s
0     11     -7.75e+09   0:00.6
1     22     -7.75e+09   0:00.9
2     33     -7.75e+09   0:01.2
3     44     -7.75e+09   0:01.4
20    231    -7.6e+09    0:05.4
40    451    -7.47e+09   0:10.8
60    671    -7.43e+09   0:16.7
80    891    -7.4e+09    0:22.2
100   1111   -7.38e+09   0:27.3
120   1331   -7.38e+09   0:31.8
140   1551   -7.38e+09   0:36.7
160   1771   -7.37e+09   0:41.4
180   1991   -7.36e+09   0:46.2
200   2211   -7.31e+09   0:50.9
220   2431   -7.21e+09   0:55.7
240   2651   -7.19e+09   1:00.8
260   2871   -7.19e+09   1:05.6
280   3091   -7.19e+09   1:10.4
300   3311   -7.19e+09   1:15.3
320   3531   -7.19e+09   1:20.3
340   3751   -7.19e+09   1:25.4
360   3971   -7.19e+09   1:30.2
380   4191   -7.18e+09   1:35.3
400   4411   -7.18e+09   1:40.4
420   4631   -7.17e+09   1:45.6
440   4851   -7.1e+09    1:50.5
460   5071   -6.53e+09   1:55.5
480   5291   -6.22e+09   2:00.6
500   5511   -5.53e+09   2:06.4
520   5731   -4.92e+09   2:12.3
540   5951   -3.61e+09   2:17.9
560   6171   -2.89e+09   2:23.8
580   6391   -2.73e+09   2:29.8
600   6611   -2.66e+09   2:35.3
620   6831   -2.64e+09   2:41.0
640   7051   -2.64e+09   2:47.1
660   7271   -2.64e+09   2:52.0
680   7491   -2.64e+09   2:57.0
700   7711   -2.64e+09   3:02.3
720   7931   -2.63e+09   3:07.8
740   8151   -2.63e+09   3:13.1
760   8371   -2.63e+09   3:17.9
780   8591   -2.63e+09   3:23.8
800   8811   -2.63e+09   3:28.8
820   9031   -2.63e+09   3:33.7
840   9251   -2.63e+09   3:38.8
860   9471   -2.63e+09   3:43.7
880   9691   -2.62e+09   3:49.0
900   9911   -2.54e+09   3:54.2
920   10131  -2.5e+09    3:59.3
940   10351  -2.39e+09   4:04.1
960   10571  -2.12e+09   4:08.9
980   10791  -1.91e+09   4:13.7
1000  11011  -1.76e+09   4:19.4
1020  11231  -1.65e+09   4:25.1
1040  11451  -1.56e+09   4:30.3
1060  11671  -1.5e+09    4:35.9
1080  11891  -1.34e+09   4:41.6
1100  12111  -1.21e+09   4:46.7
1120  12331  -1.14e+09   4:51.6
1140  12551  -1.1e+09    4:56.8
1160  12771  -1.07e+09   5:02.0
1180  12991  -1.01e+09   5:07.2
1200  13211  -8.99e+08   5:12.8
1220  13431  -8.27e+08   5:19.0
1240  13651  -7.25e+08   5:24.6
1260  13871  -6.85e+08   5:29.6
1280  14091  -6.53e+08   5:34.6
1300  14311  -6.09e+08   5:39.6
1320  14531  -4.25e+08   5:44.6
1340  14751  -3.17e+08   5:49.6
1360  14971  -2.54e+08   5:54.8
1380  15191  -2.04e+08   6:00.0
1400  15411  -1.43e+08   6:05.3
1420  15631  -8.26e+07   6:10.7
1440  15851  -5.77e+07   6:16.2
1460  16071  -4.44e+07   6:21.9
1480  16291  -3.86e+07   6:28.4
1500  16511  -3.43e+07   6:34.3
1520  16731  -3.18e+07   6:40.6
1540  16951  -2.94e+07   6:47.4
1560  17171  -2.84e+07   6:53.2
1580  17391  -2.75e+07   6:58.3
1600  17611  -2.72e+07   7:03.6
1620  17831  -2.66e+07   7:08.9
1640  18051  -2.6e+07    7:15.2
1660  18271  -2.53e+07   7:21.6
1680  18491  -2.43e+07   7:27.5
1700  18711  -2.27e+07   7:33.2
1720  18931  -2.18e+07   7:38.8
1740  19151  -2.05e+07   7:44.6
1760  19371  -1.83e+07   7:50.0
1780  19591  -1.64e+07   7:55.8
1800  19811  -1.46e+07   8:01.3
1820  20031  -1.24e+07   8:06.7
1840  20251  -9083177    8:12.1
1860  20471  -8449684    8:17.4
1880  20691  -7966156    8:22.7
1900  20911  -7718390    8:28.0
1920  21131  -7500615    8:33.3
1940  21351  -7405578    8:39.1
1960  21571  -7376370    8:44.8
1980  21791  -7361703    8:51.2
2000  22011  -7356889    8:57.4
2020  22231  -7354717    9:03.5
2040  22451  -7353159    9:09.8
2060  22671  -7352577    9:15.9
2080  22891  -7352091    9:22.4
2100  23111  -7352010    9:28.3
2120  23331  -7352001    9:34.6
2140  23551  -7352000    9:40.8
2160  23771  -7351999    9:46.4
2180  23991  -7351999    9:51.6
2200  24211  -7351999    9:56.9
2220  24431  -7351999   10:03.0
2240  24651  -7351999   10:08.6
2260  24871  -7351999   10:14.2
2280  25091  -7351999   10:19.8
2300  25311  -7351999   10:25.6
2320  25531  -7351999   10:31.4
2340  25751  -7351999   10:36.9
2360  25971  -7351999   10:42.3
2380  26191  -7351999   10:48.0
2400  26411  -7351999   10:53.8
2420  26631  -7351999   11:00.0
2440  26851  -7351999   11:05.9
2460  27071  -7351999   11:11.6
2480  27291  -7351999   11:17.9
2500  27511  -7351998   11:24.4
2520  27731  -7351998   11:31.4
2540  27951  -7351998   11:37.9
2560  28171  -7351998   11:43.6
2580  28391  -7351998   11:49.7
2600  28611  -7351998   11:56.0
2620  28831  -7351998   12:02.5
2640  29051  -7351998   12:08.1
2660  29271  -7351998   12:13.6
2680  29491  -7351998   12:19.0
2699  29689  -7351998   12:24.4
