Iter. Eval.  Best      Time m:s
0     11     -7.27e+09   0:00.5
1     22     -6.99e+09   0:00.7
2     33     -6.73e+09   0:00.9
3     44     -6.73e+09   0:01.1
20    231    -6.59e+09   0:03.4
40    451    -6.32e+09   0:06.0
60    671    -5.57e+09   0:08.9
80    891    -5.54e+09   0:12.1
100   1111   -5.49e+09   0:15.0
120   1331   -5.28e+09   0:17.8
140   1551   -5.24e+09   0:20.6
160   1771   -5.13e+09   0:23.2
180   1991   -5.05e+09   0:25.8
200   2211   -4.84e+09   0:28.6
220   2431   -4.73e+09   0:32.0
240   2651   -4.58e+09   0:35.0
260   2871   -4.18e+09   0:37.9
280   3091   -3.9e+09    0:41.2
300   3311   -3.73e+09   0:44.8
320   3531   -3.64e+09   0:48.3
340   3751   -3.59e+09   0:51.4
360   3971   -3.49e+09   0:54.6
380   4191   -3.22e+09   0:57.9
400   4411   -2.1e+09    1:01.2
420   4631   -1.98e+09   1:04.5
440   4851   -1.97e+09   1:07.8
460   5071   -1.97e+09   1:10.6
480   5291   -1.95e+09   1:13.6
500   5511   -1.94e+09   1:17.0
520   5731   -1.93e+09   1:20.8
540   5951   -1.93e+09   1:23.7
560   6171   -1.92e+09   1:26.9
580   6391   -1.92e+09   1:30.2
600   6611   -1.92e+09   1:33.4
620   6831   -1.92e+09   1:36.4
640   7051   -1.92e+09   1:39.4
660   7271   -1.91e+09   1:42.5
680   7491   -1.91e+09   1:45.5
700   7711   -1.91e+09   1:48.5
720   7931   -1.9e+09    1:51.6
740   8151   -1.89e+09   1:54.9
760   8371   -1.89e+09   1:58.2
780   8591   -1.88e+09   2:01.9
800   8811   -1.85e+09   2:05.3
820   9031   -1.84e+09   2:08.4
840   9251   -1.82e+09   2:12.4
860   9471   -1.8e+09    2:15.6
880   9691   -1.77e+09   2:18.5
900   9911   -1.7e+09    2:21.6
920   10131  -1.68e+09   2:24.5
940   10351  -1.67e+09   2:27.7
960   10571  -1.66e+09   2:30.6
980   10791  -1.53e+09   2:33.7
1000  11011  -1.33e+09   2:37.5
1020  11231  -1.21e+09   2:41.2
1040  11451  -1.14e+09   2:43.9
1060  11671  -1.12e+09   2:47.0
1080  11891  -1.11e+09   2:50.0
1100  12111  -1.1e+09    2:53.0
1120  12331  -9.37e+08   2:55.9
1140  12551  -5.58e+08   2:58.9
1160  12771  -4.33e+08   3:01.9
1180  12991  -3.73e+08   3:04.9
1200  13211  -1.51e+08   3:07.8
1220  13431  -1.17e+08   3:10.8
1240  13651  -8.76e+07   3:13.6
1260  13871  -6.85e+07   3:16.4
1280  14091  -5.31e+07   3:19.1
1300  14311  -4.12e+07   3:21.9
1320  14531  -3.65e+07   3:24.8
1340  14751  -3.06e+07   3:27.8
1360  14971  -2.54e+07   3:30.9
1380  15191  -1.89e+07   3:33.8
1400  15411  -1.57e+07   3:37.0
1420  15631  -1.19e+07   3:39.8
1440  15851  -9920665    3:43.1
1460  16071  -9567813    3:46.9
1480  16291  -9334516    3:49.6
1500  16511  -9015981    3:53.3
1520  16731  -8574208    3:57.4
1540  16951  -8380717    4:00.8
1560  17171  -8307688    4:04.1
1580  17391  -8287028    4:07.6
1600  17611  -8268595    4:11.1
1620  17831  -8261531    4:14.5
1640  18051  -8258959    4:17.6
1660  18271  -8253839    4:20.7
1680  18491  -8243438    4:23.1
1700  18711  -8235726    4:26.5
1720  18931  -8232143    4:28.6
1740  19151  -8231279    4:30.8
1760  19371  -8230781    4:32.9
1780  19591  -8230377    4:35.3
1800  19811  -8230300    4:37.7
1820  20031  -8230274    4:40.2
1840  20251  -8230264    4:42.7
1860  20471  -8230257    4:45.4
1880  20691  -8230250    4:47.8
1900  20911  -8230247    4:50.1
1920  21131  -8230247    4:52.5
1940  21351  -8230247    4:54.7
1960  21571  -8230247    4:57.2
1980  21791  -8230246    5:00.6
2000  22011  -8230245    5:04.1
2020  22231  -8230245    5:07.9
2040  22451  -8230245    5:10.9
2060  22671  -8230245    5:13.8
2080  22891  -8230244    5:15.7
2100  23111  -8230243    5:18.9
2120  23331  -8230243    5:21.3
2140  23551  -8230243    5:24.1
2160  23771  -8230243    5:27.2
2180  23991  -8230243    5:30.1
2200  24211  -8230243    5:32.8
2220  24431  -8230243    5:35.6
2240  24651  -8230243    5:38.5
2260  24871  -8230243    5:41.2
2280  25091  -8230243    5:43.9
2295  25245  -8230243    5:46.0
